Algorithm,Map,Run,Computation Time
Skeletonize,Map2,49,"2.5950570106506348
"
Skeletonize,Map2,50,"2.634948968887329
"
Skeletonize,Map2,51,"2.6030352115631104
"
Skeletonize,Map2,52,"2.662125825881958
"
Skeletonize,Map2,53,"2.6169919967651367
"
Skeletonize,Map2,54,"2.6718504428863525
"
Skeletonize,Map2,55,"2.5801355838775635
"
Skeletonize,Map2,56,"2.6648688316345215
"
Skeletonize,Map2,57,"2.606045961380005
"
Skeletonize,Map2,58,"2.6149723529815674
"
Skeletonize,Map2,59,"2.6080667972564697
"
Skeletonize,Map2,60,"2.6120352745056152
"
Skeletonize,Map2,61,"2.598031759262085
"
Skeletonize,Map2,62,"2.5890915393829346
"
Skeletonize,Map2,63,"2.6180145740509033
"
Skeletonize,Map2,64,"2.594594955444336
"
Skeletonize,Map2,65,"2.565155506134033
"
Skeletonize,Map2,66,"2.5930817127227783
"
Skeletonize,Map2,67,"2.5890727043151855
"
Skeletonize,Map2,68,"2.6088783740997314
"
Skeletonize,Map2,69,"2.5551650524139404
"
Skeletonize,Map2,70,"2.5920634269714355
"
Skeletonize,Map2,71,"2.5970494747161865
"
Skeletonize,Map2,72,"2.584113121032715
"
Skeletonize,Map2,73,"2.5611464977264404
"
Skeletonize,Map2,74,"2.6110153198242188
"
Skeletonize,Map2,75,"2.645918369293213
"
Skeletonize,Map2,76,"2.668858051300049
"
Skeletonize,Map2,77,"2.620986223220825
"
Skeletonize,Map2,78,"2.663126230239868
"
Skeletonize,Map2,79,"2.567309617996216
"
Skeletonize,Map2,80,"2.5830883979797363
"
Skeletonize,Map2,81,"2.611013174057007
"
Skeletonize,Map2,82,"2.5701427459716797
"
Skeletonize,Map2,83,"2.5811245441436768
"
Skeletonize,Map2,84,"2.59306001663208
"
Skeletonize,Map2,85,"2.619990348815918
"
Skeletonize,Map2,86,"2.5890443325042725
"
Skeletonize,Map2,87,"2.6450023651123047
"
Skeletonize,Map2,88,"2.547417640686035
"
Skeletonize,Map2,89,"2.606058120727539
"
Skeletonize,Map2,90,"2.5870766639709473
"
Skeletonize,Map2,91,"2.6090173721313477
"
Skeletonize,Map2,92,"2.619990825653076
"
Skeletonize,Map2,93,"2.6140031814575195
"
Skeletonize,Map2,94,"2.5671305656433105
"
Skeletonize,Map2,95,"2.5741329193115234
"
Skeletonize,Map2,96,"2.5870778560638428
"
Skeletonize,Map2,97,"2.5702996253967285
"
Skeletonize,Map2,98,"2.6100149154663086
"
Skeletonize,Map2,99,"2.5960748195648193
"
Skeletonize,Map2,100,"2.5890700817108154
"
Skeletonize,Map3,1,"3.9115309715270996
"
Skeletonize,Map3,2,"3.780884027481079
"
Skeletonize,Map3,3,"3.721031904220581
"
