Algorithm,Map,Run,Computation Time
Skeletonize,Map4,62,"2.1179122924804688
"
Skeletonize,Map4,63,"2.096156597137451
"
Skeletonize,Map4,64,"2.1048502922058105
"
Skeletonize,Map4,65,"2.0860774517059326
"
Skeletonize,Map4,66,"2.114420175552368
"
Skeletonize,Map4,67,"2.0858139991760254
"
Skeletonize,Map4,68,"2.098839044570923
"
Skeletonize,Map4,69,"2.091989278793335
"
Skeletonize,Map4,70,"2.1122021675109863
"
Skeletonize,Map4,71,"2.1027495861053467
"
Skeletonize,Map4,72,"2.1043710708618164
"
Skeletonize,Map4,73,"2.129685163497925
"
Skeletonize,Map4,74,"2.100497007369995
"
Skeletonize,Map4,75,"2.0967164039611816
"
Skeletonize,Map4,76,"2.112016201019287
"
Skeletonize,Map4,77,"2.1084365844726562
"
Skeletonize,Map4,78,"2.1196694374084473
"
Skeletonize,Map4,79,"2.0910110473632812
"
Skeletonize,Map4,80,"2.116321325302124
"
Skeletonize,Map4,81,"2.0913100242614746
"
Skeletonize,Map4,82,"2.108821153640747
"
Skeletonize,Map4,83,"2.115440607070923
"
Skeletonize,Map4,84,"2.0780389308929443
"
Skeletonize,Map4,85,"2.1213362216949463
"
Skeletonize,Map4,86,"2.093069076538086
"
Skeletonize,Map4,87,"2.112053871154785
"
Skeletonize,Map4,88,"2.0940308570861816
"
Skeletonize,Map4,89,"2.1211562156677246
"
Skeletonize,Map4,90,"2.0843911170959473
"
Skeletonize,Map4,91,"2.0994274616241455
"
Skeletonize,Map4,92,"2.115615129470825
"
Skeletonize,Map4,93,"2.0931310653686523
"
Skeletonize,Map4,94,"2.0908679962158203
"
Skeletonize,Map4,95,"2.10615873336792
"
Skeletonize,Map4,96,"2.0916099548339844
"
Skeletonize,Map4,97,"2.106844902038574
"
Skeletonize,Map4,98,"2.111044406890869
"
Skeletonize,Map4,99,"2.1315982341766357
"
Skeletonize,Map4,100,"2.1062567234039307
"
Skeletonize,Map5,1,"2.0368103981018066
"
Skeletonize,Map5,2,"2.0876305103302
"
Skeletonize,Map5,3,"2.026042938232422
"
Skeletonize,Map5,4,"2.072286605834961
"
Skeletonize,Map5,5,"2.0651211738586426
"
Skeletonize,Map5,6,"2.116504669189453
"
Skeletonize,Map5,7,"2.0429136753082275
"
Skeletonize,Map5,8,"2.070448875427246
"
Skeletonize,Map5,9,"2.0740885734558105
"
Skeletonize,Map5,10,"2.0782148838043213
"
Skeletonize,Map5,11,"2.0642213821411133
"
Skeletonize,Map5,12,"2.094156265258789
"
Skeletonize,Map5,13,"2.079706907272339
"
Skeletonize,Map5,14,"2.1018590927124023
"
Skeletonize,Map5,15,"2.111072301864624
"
Skeletonize,Map5,16,"2.076354742050171
"
Skeletonize,Map5,17,"2.090776205062866
"
Skeletonize,Map5,18,"2.1126906871795654
"
Skeletonize,Map5,19,"2.0951008796691895
"
Skeletonize,Map5,20,"2.083653688430786
"
Skeletonize,Map5,21,"2.088357448577881
"
Skeletonize,Map5,22,"2.102857828140259
"
Skeletonize,Map5,23,"2.1286532878875732
"
Skeletonize,Map5,24,"2.052335739135742
"
Skeletonize,Map5,25,"2.102771759033203
"
Skeletonize,Map5,26,"2.0977044105529785
"
Skeletonize,Map5,27,"2.1135218143463135
"
Skeletonize,Map5,28,"2.1210358142852783
"
Skeletonize,Map5,29,"2.104653835296631
"
Skeletonize,Map5,30,"2.1085801124572754
"
Skeletonize,Map5,31,"2.121854543685913
"
Skeletonize,Map5,32,"2.108567953109741
"
Skeletonize,Map5,33,"2.0884275436401367
"
Skeletonize,Map5,34,"2.1025447845458984
"
Skeletonize,Map5,35,"2.1059539318084717
"
Skeletonize,Map5,36,"2.0918588638305664
"
Skeletonize,Map5,37,"2.1049890518188477
"
Skeletonize,Map5,38,"2.086395263671875
"
Skeletonize,Map5,39,"2.1070175170898438
"
Skeletonize,Map5,40,"2.087862014770508
"
Skeletonize,Map5,41,"2.0943589210510254
"
Skeletonize,Map5,42,"2.097543954849243
"
Skeletonize,Map5,43,"2.111217498779297
"
Skeletonize,Map5,44,"2.098820209503174
"
